page,language,profile,performance,accessibility,best_practices,seo,runs,performance_min,performance_max,result,note,source_sha256
/it/contact,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/contact,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/faq,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/faq,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/faq,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/hotel,it,phone,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/hotel,it,tablet,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/hotel,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/jacknjill,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/jacknjill,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/jacknjill,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/masterclass,it,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/masterclass,it,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/it/masterclass,it,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
