page,language,profile,performance,accessibility,best_practices,seo,runs,performance_min,performance_max,result,note,source_sha256
/news/gero-y-migle-bachata-masters-2026,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/gero-y-migle-bachata-masters-2026,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/gero-y-migle-bachata-masters-2026,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/irene-y-tomas-bachata-sensual-masters,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/irene-y-tomas-bachata-sensual-masters,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/irene-y-tomas-bachata-sensual-masters,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/klau-y-ros-endless-bachata-masters-2026,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/klau-y-ros-endless-bachata-masters-2026,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/klau-y-ros-endless-bachata-masters-2026,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/milan-bachata-travel-guide-2026,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/milan-bachata-travel-guide-2026,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/milan-bachata-travel-guide-2026,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/nacho-y-silvia-bachata-esencia-new-generation,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/nacho-y-silvia-bachata-esencia-new-generation,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/nacho-y-silvia-bachata-esencia-new-generation,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/top-5-bachata-congresses-europe-2026,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/top-5-bachata-congresses-europe-2026,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/top-5-bachata-congresses-europe-2026,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/weekly-classes-vs-bachata-congresses,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/weekly-classes-vs-bachata-congresses,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/weekly-classes-vs-bachata-congresses,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/what-to-expect-bachata-congress-2026,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/what-to-expect-bachata-congress-2026,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/news/what-to-expect-bachata-congress-2026,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/parties,en,phone,99,95,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/parties,en,tablet,99,95,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/parties,en,desktop,100,95,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/program,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/program,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/program,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/terms,en,phone,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/terms,en,tablet,99,100,100,100,1,99,99,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/terms,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/tickets,en,phone,97,100,100,100,1,97,97,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/tickets,en,tablet,96,100,100,100,3,96,96,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/tickets,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/transfer,en,phone,98,100,100,100,1,98,98,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/transfer,en,tablet,96,100,100,100,3,95,96,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
/transfer,en,desktop,100,100,100,100,1,100,100,PASS,,e253c80e067fb8562305f6203034ed2d9013fe9753aac7917d0736e1acc7c246
